maxO3;T3;T9;T12;T15;Ne9;Ne12;Ne15;Vx9;Vx12;Vx15;maxO3v;vent;Humidité;pluie
113;650;NA;18.2;22.7;NA;NA;NA;-3.7588;-3.9392;-4.6985;97;Ouest;humide;Pluie
72;650;NA;21.2;23.9;7;NA;4;-2.5981;-3.9392;-3.7588;113;Ouest;humide;Pluie
88;650;19.2;22;NA;NA;NA;NA;-1.9696;-3.0642;-4;72;Ouest;humide;Sec
77;;19.4;20.7;22.5;7;8;NA;NA;-5.6382;-9;88;Ouest;humide;Sec
71;;19.2;21;22.4;6;4;6;-7.8785;-6.8937;-6.8937;77;Ouest;humide;Sec
56;;13.8;NA;18.5;8;8;6;1.5;-3.8302;-2.0521;71;Ouest;humide;Pluie
56;;13.8;NA;18.5;8;8;6;1.5;-3.8302;-2.0521;71;Ouest;humide;Pluie
56;;13.8;NA;18.5;8;8;6;1.5;-3.8302;-2.0521;71;Ouest;humide;Pluie
45;;NA;14.5;15.2;8;NA;8;0.684;4;NA;NA;Est;humide;Pluie
67;;15.6;18.6;NA;5;NA;5;-3.2139;NA;NA;45;Ouest;humide;Pluie
NA;;16.9;19.1;NA;5;NA;6;-2.2981;-3.7588;0;67;Ouest;humide;Pluie
84;;17.4;20.4;NA;3;NA;6;0;NA;-2.5981;67;Sud;humide;Sec
63;;NA;20.5;20.6;8;6;6;2;-5.3623;-6.1284;84;Ouest;humide;Pluie
NA;;NA;15.6;NA;NA;8;NA;NA;-3.8302;-4.3301;63;Ouest;humide;Pluie
92;;16.7;19.1;19.3;7;6;4;-2.0521;-4.4995;-2.7362;69;Nord;humide;Sec
88;;NA;20.3;NA;NA;NA;NA;NA;-3.4641;NA;92;Ouest;humide;Pluie
66;;18;NA;NA;8;6;5;-3;-3.5;NA;88;Sud;humide;Sec
72;;18.6;21.9;23.6;4;7;6;NA;-1.9696;NA;66;Ouest;humide;Sec
81;;18.8;22.5;23.9;6;3;2;0.5209;-1;-2;NA;Nord;humide;Sec
NA;;19;22.5;24.1;NA;NA;NA;NA;-1.0261;0.5209;81;Nord;humide;Sec
149;;19.9;26.9;29;3;4;NA;NA;-0.9397;-0.6428;83;Ouest;humide;Sec
153;0;NA;NA;NA;1;NA;4;0.9397;1.5;NA;149;Nord;humide;Sec
159;0;24;28.3;26.5;2;NA;7;-0.342;1.2856;-2;NA;Nord;humide;Sec
149;0;23.3;27.6;28.8;4;NA;3;0.866;-1.5321;-0.1736;159;Ouest;humide;Sec
160;0;NA;NA;NA;NA;NA;NA;1.5321;NA;NA;149;Sud;humide;Sec
156;0;24.9;30.5;32.2;0;1;4;-0.5;-1.8794;-1.2856;160;Ouest;humide;Sec
84;0;NA;26.3;27.8;NA;NA;2;-1.3681;NA;0;156;Nord;humide;Sec
126;0;25.3;29.5;31.2;NA;4;4;3;3.7588;NA;84;Est;humide;Sec
116;0;21.3;23.8;22.1;7;7;8;0;-2.3941;-1.3892;126;Sud;humide;Pluie
77;0;20;18.2;23.6;5;7;6;-3.4641;-2.5981;-3.7588;116;Ouest;humide;Pluie
63;0;18.7;20.6;20.3;6;NA;7;-5;-4.924;-5.6382;NA;Ouest;humide;Pluie
NA;;18.6;18.7;17.8;8;8;8;-4.6985;-2.5;-0.8682;63;Sud;humide;Pluie
65;;19.2;23;22.7;8;7;7;-3.8302;-4.924;-5.6382;54;Ouest;humide;Sec
72;;19.9;NA;20.4;7;7;8;-3;-4.5963;NA;65;Ouest;humide;Pluie
60;;18.7;21.4;21.7;7;7;7;-5.6382;-6.0622;-6.8937;72;Ouest;humide;Pluie
70;;18.4;17.1;NA;3;6;3;-5.9088;-3.2139;-4.4995;60;Nord;humide;Pluie
77;;NA;NA;NA;4;5;NA;-1.9284;-1.0261;0.5209;70;Nord;humide;Sec
98;;NA;NA;NA;1;1;0;NA;-1.5321;-1;NA;Ouest;humide;Pluie
111;;NA;NA;NA;1;5;2;-1.0261;-3;-2.2981;98;Ouest;humide;Sec
75;;NA;NA;NA;8;7;1;-0.866;0;0;NA;Nord;humide;Sec
116;;23.5;29.8;31.7;1;3;5;1.8794;1.3681;0.6946;75;Sud;humide;Sec
109;;20.8;23.7;26.6;8;5;4;-1.0261;-1.7101;-3.2139;116;Sud;humide;Sec
67;;18.8;NA;18.9;NA;NA;NA;NA;-5.3623;-2.5;86;Ouest;humide;Pluie
76;;NA;NA;24;NA;5;5;-3.0642;-2.2981;NA;67;Ouest;humide;Pluie
113;;20.6;24.8;27;NA;NA;NA;1.3681;0.8682;-2.2981;76;Sud;humide;Sec
117;;21.6;26.9;28.6;6;NA;4;1.5321;1.9284;1.9284;113;Sud;humide;Pluie
131;;NA;28.4;30.1;5;3;3;0.1736;-1.9696;-1.9284;117;Ouest;humide;Sec
166;;19.8;27.2;30.8;4;0;1;0.6428;-0.866;0.684;131;Ouest;humide;Sec
159;;25;33.5;35.5;1;NA;1;1;0.6946;-1.7101;166;Sud;humide;Sec
NA;;20.1;22.9;27.6;8;8;6;1.2856;-1.7321;-0.684;NA;Ouest;humide;Sec
114;;NA;NA;NA;7;4;5;3.0642;2.8191;1.3681;100;Est;humide;Sec
NA;;21;24.4;NA;1;6;3;4;4;3.7588;114;Est;humide;Sec
NA;;16.9;17.8;20.6;NA;NA;7;-2;-0.5209;1.8794;112;Nord;humide;Pluie
76;;NA;18.6;18.7;7;7;7;-3.4641;-4;-1.7321;101;Ouest;humide;Sec
59;;16.5;20.3;20.3;5;7;6;-4.3301;-5.3623;NA;76;Ouest;humide;Pluie
78;;17.7;20.2;21.5;NA;NA;NA;NA;0.5209;0;59;Nord;humide;Pluie
76;;17.3;22.7;24.6;4;NA;6;-2.9544;-2.9544;-2;NA;Ouest;humide;Pluie
55;;15.3;16.8;19.2;8;7;5;-1.8794;NA;-2.3941;76;Ouest;humide;Pluie
71;;15.9;19.2;19.5;7;5;3;NA;NA;-1.3892;55;Nord;humide;Pluie
NA;;16.2;18.9;19.3;2;5;6;-1.3681;-0.8682;NA;71;Nord;humide;Pluie
59;;NA;NA;NA;7;7;7;NA;-1.9284;-1.7101;66;Nord;humide;Pluie
NA;;NA;NA;NA;6;5;NA;-1.5;-3.4641;-3.0642;59;Ouest;humide;Pluie
63;;17.3;19.8;19.4;NA;NA;NA;-4.5963;-6.0622;-4.3301;68;Ouest;humide;Sec
NA;;14.2;22.2;NA;5;NA;6;-0.866;-5;NA;62;Ouest;humide;Sec
74;;15.8;18.7;19.1;NA;7;7;-4.5963;-6.8937;NA;78;Ouest;humide;Pluie
71;;15.2;17.9;18.6;NA;NA;NA;-1.0419;-1.3681;NA;74;Nord;humide;Pluie
69;;17.1;17.7;17.5;6;7;8;-5.1962;-2.7362;-1.0419;71;Nord;humide;Pluie
71;;15.4;NA;16.6;4;5;5;-3.8302;0;1.3892;69;Nord;humide;Sec
60;;NA;NA;NA;4;5;4;0;3.2139;0;71;Nord;humide;Pluie
42;;NA;14.3;14.9;8;7;7;-2.5;-3.2139;-2.5;60;Nord;humide;Pluie
65;;14.8;NA;15.9;7;NA;7;NA;-6.0622;-5.1962;42;Ouest;humide;Pluie
71;;15.5;18;17.4;7;7;6;-3.9392;-3.0642;0;65;Ouest;humide;Sec
96;;11.3;NA;20.2;3;3;3;-0.1736;3.7588;3.8302;71;Est;humide;Pluie
98;;15.2;19.7;20.3;2;2;2;4;5;NA;96;Est;humide;Sec
92;;NA;17.6;18.2;1;4;6;5.1962;5.1423;NA;98;Nord;humide;Sec
76;;13.3;17.7;17.7;NA;NA;NA;-0.9397;-0.766;-0.5;NA;Ouest;humide;Pluie
NA;;13.3;NA;17.8;3;5;NA;0;-1;-1.2856;76;Sud;humide;Sec
77;;16.2;20.8;NA;NA;NA;NA;-0.6946;-2;NA;71;Sud;humide;Pluie
99;;NA;NA;NA;NA;NA;NA;1.5;0.8682;0.8682;NA;Sud;humide;Sec
83;;NA;NA;NA;NA;5;3;-4;-3.7588;-4;99;Ouest;humide;Pluie
70;;15.7;18.6;20.7;7;NA;7;NA;-1.0419;-4;83;Sud;humide;Sec
